time,open,high,low,close,volume,time,RSI
2018-09-10,25991.9102,26039.9609,25854.1309,25857.0703,252170000,2018-09-10,63.5166
2018-09-07,25951.0195,26002.9902,25818.3906,25916.5391,281350000,2018-09-07,60.5149
2018-09-06,25973.0195,26073.6797,25880.8398,25995.8691,262380000,2018-09-06,62.9532
2018-09-05,25919.8398,26011.2207,25871.0391,25974.9902,289210000,2018-09-05,59.5018
2018-09-04,25916.0703,25971.7695,25805.9492,25952.4805,254600000,2018-09-04,59.2664
2018-08-31,25964.8496,26028.8301,25879.7695,25964.8203,273440000,2018-08-31,63.4413
2018-08-30,26099.0098,26104.3691,25934.8008,25986.9199,240440000,2018-08-30,76.3915
2018-08-29,26082.5293,26167.9395,26035.3008,26124.5703,214960000,2018-08-29,75.8618
2018-08-28,26092.6992,26122.2402,26037.8496,26064.0195,211470000,2018-08-28,76.7920
2018-08-27,25882.7109,26067.5703,25882.7109,26049.6406,220510000,2018-08-27,70.1878
2018-08-24,25688.5801,25826.0508,25688.5801,25790.3496,200330000,2018-08-24,61.2732
2018-08-23,25714.8594,25762.5605,25608.0195,25656.9805,213270000,2018-08-23,63.5231
2018-08-22,25825.0605,25836.1602,25722.4297,25733.5996,200480000,2018-08-22,73.4146
2018-08-21,25786.9902,25888.8203,25784.9004,25822.2891,241620000,2018-08-21,72.1014
2018-08-20,25727.6992,25790.1699,25716.4102,25758.6895,248570000,2018-08-20,70.0880
2018-08-17,25550.8008,25728.1602,25521.6602,25669.3203,284160000,2018-08-17,63.1442
2018-08-16,25294.9707,25607.3398,25294.9707,25558.7305,342430000,2018-08-16,47.8143
2018-08-15,25235.3691,25235.3691,24965.7695,25162.4102,295810000,2018-08-15,42.9796
2018-08-14,25215.6895,25339.5098,25201.8691,25299.9199,219210000,2018-08-14,41.4113
2018-08-13,25327.1895,25381.3906,25153.9297,25187.6992,219990000,2018-08-13,47.9490
2018-08-10,25401.1895,25401.1895,25222.8809,25313.1406,234480000,2018-08-10,52.7886
2018-08-09,25589.7891,25613.3105,25492.6895,25509.2305,214970000,2018-08-09,68.1217
2018-08-08,25615.7207,25634.1094,25557.4805,25583.7500,217770000,2018-08-08,70.5885
2018-08-07,25551.6504,25692.7207,25551.6504,25628.9102,239910000,2018-08-07,68.0905
2018-08-06,25437.4297,25540.0195,25381.3809,25502.1797,238990000,2018-08-06,63.2173
2018-08-03,25360.3691,25467.9004,25325.1699,25462.5801,239020000,2018-08-03,59.5725
2018-08-02,25256.4492,25360.4805,25120.0703,25326.1602,307700000,2018-08-02,54.2198
2018-08-01,25461.6309,25488.8008,25278.3203,25333.8203,315880000,2018-08-01,70.3005
2018-07-31,25345.2109,25490.9805,25345.2109,25415.1895,348700000,2018-07-31,65.1722
2018-07-30,25439.3203,25500.1602,25287.3809,25306.8301,296880000,2018-07-30,74.2393
2018-07-27,25520.5195,25580.2207,25370.0703,25451.0605,329680000,2018-07-27,82.9521
2018-07-26,25468.5508,25587.2402,25463.1602,25527.0703,297530000,2018-07-26,81.7528
2018-07-25,25183.6992,25432.8691,25113.5508,25414.0996,273670000,2018-07-25,72.4617
2018-07-24,25092.4297,25286.6191,25092.4297,25241.9395,274940000,2018-07-24,67.8758
2018-07-23,25036.9004,25081.4492,24983.3301,25044.2891,228820000,2018-07-23,64.7509
2018-07-20,25041.1406,25124.0996,24986.3496,25058.1191,274080000,2018-07-20,65.1745
2018-07-19,25139.1504,25154.1699,25052.6191,25064.5000,285760000,2018-07-19,75.1128
2018-07-18,25133.7891,25215.3203,25101.1191,25199.2891,252870000,2018-07-18,74.9299
2018-07-17,25033.9199,25155.3906,24989.6094,25119.8906,250450000,2018-07-17,71.5164
2018-07-16,25025.5801,25072.4102,24979.6406,25064.3594,231270000,2018-07-16,71.2302
2018-07-13,24926.0703,25043.2109,24890.0605,25019.4102,255520000,2018-07-13,67.8581
2018-07-12,24802.9004,24939.9707,24802.9004,24924.8906,233150000,2018-07-12,63.1847
2018-07-11,24789.4805,24815.1602,24663.8203,24700.4492,237370000,2018-07-11,62.6672
2018-07-10,24806.9707,24945.3809,24806.9707,24919.6602,235040000,2018-07-10,63.6881
2018-07-09,24519.1992,24796.5195,24518.4297,24776.5898,240580000,2018-07-09,52.5622
2018-07-06,24352.4707,24520.2891,24281.4707,24456.4805,219450000,2018-07-06,43.8386
2018-07-05,24285.8203,24372.8008,24177.4395,24356.7402,237670000,2018-07-05,39.9777
2018-07-03,24359.3906,24444.8809,24150.8496,24174.8203,160960000,2018-07-03,42.8209
2018-07-02,24161.5293,24319.4199,24077.5605,24307.1797,244110000,2018-07-02,31.3277
